unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1549584000,2967.25,2527.88638875,8082663.939389251,-2.83,-11.77,-17.6,3201.0,3165.0
1549670400,3199.99,641.98842787,2055255.3330987392,-7.44,-10.2,-16.41,3213.0,3175.0
1549756800,3201.4,478.51197243,1542961.855100535,16.23,-7.14,-15.0,3211.0,3197.0
1549843200,3228.12,1425.70033494,4552232.655456721,36.8,-6.0,-13.53,3183.0,3322.0
1549929600,3192.98,1520.12033664,4824208.296750605,47.81,-4.56,-11.99,3177.0,3433.0
1550016000,3173.56,1352.47688262,4302228.96361422,46.61,-3.45,-10.5,3169.0,3456.0
1550102400,3180.66,1051.41809893,3319999.8459053254,39.24,-3.17,-9.42,3165.0,3461.0
1550188800,3159.95,1090.00860678,3455000.280910566,20.68,-1.99,-8.34,3175.0,3463.0
1550275200,3167.32,506.12619003,1610493.53667546,-7.72,-1.32,-7.31,3197.0,3558.0
1550361600,3177.96,545.98257641,1756218.474931934,-8.96,-0.46,-6.26,3322.0,3467.0
1550448000,3216.63,2269.40181043,7777081.146216879,-7.69,0.71,-5.14,3433.0,3335.0
1550534400,3427.56,1837.82389108,6318824.480550167,2.37,2.04,-4.5,3456.0,3350.0
1550620800,3431.02,1204.18779617,4191151.540813761,30.43,5.13,-3.93,3461.0,3340.0
1550707200,3479.33,1149.31218868,3956886.482553164,47.7,7.26,-3.23,3463.0,3338.0
1550793600,3442.83,952.11301235,3316381.002357273,61.97,9.58,-2.68,3558.0,3349.0
1550880000,3483.18,1345.38604433,4888460.192073055,58.7,11.7,-2.11,3467.0,3358.0
1550966400,3633.51,1980.71375115,6538930.306671496,50.71,13.81,-1.83,3335.0,3351.0
1551052800,3302.32,1430.73549551,4817043.188347933,49.06,16.97,-1.35,3350.0,3304.0
1551139200,3367.63,1281.02919798,4269081.043436269,1.18,17.59,-1.25,3340.0,3338.0
1551225600,3339.12,1696.06968755,5664855.795720125,-12.63,18.48,-1.08,3338.0,3406.0
1551312000,3339.99,1417.83692422,4730286.795167459,-26.85,18.95,-0.64,3349.0,3430.0
1551398400,3340.11,959.97370098,3222689.312611919,-30.8,18.63,-0.18,3358.0,3438.0
1551484800,3356.97,438.96215877,1474473.89130843,-34.98,17.98,0.13,3351.0,3456.0
1551571200,3364.78,273.72853943,913295.271808195,-27.92,17.42,0.56,3304.0,3480.0
1551657600,3336.49,1253.05165732,4100160.449983065,5.97,16.65,0.97,3338.0,3447.0
1551744000,3272.14,1380.43032834,4698736.3602102585,-0.9,15.66,1.19,3406.0,3427.0
1551830400,3403.82,1324.99684175,4515006.238073629,-6.55,14.29,1.4,3430.0,3416.0
1551916800,3408.9,1593.4246972,5497506.416303664,1.25,13.35,1.57,3438.0,3406.0
1552003200,3450.13,1746.16994547,5982675.0820709495,7.41,12.27,1.58,3456.0,3428.0
1552089600,3426.16,856.36435666,2985174.8199503943,15.54,11.43,1.56,3480.0,3487.0
1552176000,3485.87,339.58089042,1179612.3264786666,19.58,9.95,1.53,3447.0,3515.0
1552262400,3473.78,811.51968992,2776249.435200816,28.66,8.64,1.62,3427.0,3508.0
1552348800,3427.14,1988.7968746,6815050.026129311,28.08,8.63,1.63,3416.0,3517.0
1552435200,3426.69,1364.32766013,4645753.97516827,8.41,8.21,1.57,3406.0,3528.0
1552521600,3404.98,1149.68522433,3916632.653725011,1.96,7.87,1.53,3428.0,3516.0
1552608000,3410.97,1026.41973101,3536015.9733294505,-6.9,7.06,1.37,3487.0,3513.0
1552694400,3449.64,1256.80555073,4429359.802437739,-9.09,6.05,1.17,3515.0,3528.0
1552780800,3524.26,642.7860911,2253884.433415773,-9.16,5.24,0.97,3508.0,3522.0
